City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yellowknife,CA,20.29,broken clouds,62.456,-114.3525,The Explorer Hotel
5,Yinchuan,CN,23.58,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
10,Kasur,PK,29.06,clear sky,31.1156,74.4467,Qudrat ullah khan
11,Sao Filipe,CV,24.36,few clouds,14.8961,-24.4956,Hotel Xaguate
12,Peniche,PT,23.71,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
13,Jiaozuo,CN,23.73,light rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
19,Suez,EG,25.75,clear sky,29.9737,32.5263,Green House
20,Hilo,US,27.85,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Sola,VU,26.37,overcast clouds,-13.8833,167.55,Leumerus Bungalows
25,Vaini,TO,23.09,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Lagoa,PT,22.75,clear sky,39.05,-27.9833,Casa Das Faias
30,Jamestown,US,26.62,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Ponta Do Sol,PT,22.78,few clouds,32.6667,-17.1,Hotel do Campo
34,Atuona,PF,25.61,clear sky,-9.8,-139.0333,Villa Enata
37,Rikitea,PF,23.47,clear sky,-23.1203,-134.9692,People ThankYou
38,Kendari,ID,25.02,scattered clouds,-3.945,122.4989,Hotel Wixel
41,Byron Bay,AU,20.49,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
43,Butaritari,KI,27.9,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Kurayoshi,JP,22.95,overcast clouds,35.4333,133.8167,Hotel Ark 21
45,Owando,CG,24.92,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
46,Gulariya,NP,24.54,overcast clouds,28.2333,81.3333,PUJA TRADING
47,Biak,ID,26.8,scattered clouds,-0.9131,122.8766,Penginapan Kim
48,Muroto,JP,27.02,overcast clouds,33.2833,134.15,Oota Ryokan
49,Imeni Poliny Osipenko,RU,21.2,few clouds,52.4201,136.4853,Yubileynaya
51,Salalah,OM,25.05,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
54,San Quintin,MX,24.9,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
59,Ixtapa,MX,29.01,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
62,Camacha,PT,20.85,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
64,Babol,IR,27.13,overcast clouds,36.5513,52.679,Reza Hotel
65,Puerto Ayora,EC,20.14,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Prainha,BR,23.61,scattered clouds,-1.8,-53.48,Casa Rocha
70,Sao Joao Da Barra,BR,20.81,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
71,Fort Nelson,CA,27.77,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
73,Savalou,BJ,22.05,overcast clouds,7.9281,1.9756,Hotel F&F
76,Georgetown,MY,26.05,few clouds,5.4112,100.3354,Cititel Penang
77,Muisne,EC,23.64,overcast clouds,0.6,-80.0333,Quinta Samay
78,Auki,SB,28.13,scattered clouds,-8.7676,160.7034,Auki Motel
79,Hithadhoo,MV,27.76,overcast clouds,-0.6,73.0833,Scoop Guest House
81,Ribeira Grande,PT,22.65,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
82,Kousseri,CM,24.98,moderate rain,12.0769,15.0306,Le Pilotis
85,Hambantota,LK,27.19,few clouds,6.1241,81.1185,Bungalow 63
90,Banamba,ML,23.61,broken clouds,13.55,-7.45,Kassela de Banamba
91,Nishihara,JP,29.81,scattered clouds,26.1842,127.7558,Minshuku Agaihama
92,Touros,BR,23.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
93,Marawi,PH,22.03,broken clouds,7.9986,124.2928,Derogongan Residence
97,Vanimo,PG,29.47,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
98,Labuan,MY,25.2,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
100,Avarua,CK,23.03,overcast clouds,-21.2078,-159.775,Paradise Inn
101,Sinnamary,GF,25.64,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
103,Faanui,PF,25.95,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Babu,CN,28.46,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
107,North Bend,US,24.4,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
108,Bengkulu,ID,25.79,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
109,Caravelas,BR,20.46,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
112,Ugoofaaru,MV,27.76,overcast clouds,5.6667,73.0,Ungoofaaru Inn
114,Pipar,IN,26.86,overcast clouds,26.3856,73.5378,Aadam Mansion
117,Marsa Matruh,EG,26.11,broken clouds,31.3525,27.2453,Beau Site
118,Kavieng,PG,29.6,few clouds,-2.5744,150.7967,Nusa Island Retreat
119,Manggar,ID,27.14,overcast clouds,-2.8833,108.2667,Guest Hotel
120,Neepawa,CA,24.22,scattered clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
129,Mount Hagen,PG,20.42,haze,-5.8581,144.2274,Highlander Hotel & Apartments
134,Lahat,ID,26.15,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
137,Tortoli,IT,25.9,clear sky,39.9256,9.6572,Hotel La Bitta
140,Ulaangom,MN,20.21,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
141,Nador,MA,24.04,overcast clouds,35.174,-2.9287,Hôtel La Giralda
142,Wisconsin Rapids,US,23.32,clear sky,44.3836,-89.8174,Hotel Mead & Conference Center
146,Airai,TL,21.75,broken clouds,-8.9266,125.4092,Juvinal Martin
147,Kavaratti,IN,27.26,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
149,Damietta,EG,27.94,clear sky,31.4165,31.8133,SULIMAN INN
155,Faya,SA,21.06,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
156,Wilmington,US,28.31,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
157,Baikunthpur,IN,23.94,overcast clouds,23.25,82.55,Hotel Shree Annpurna inn
159,Deqing,CN,22.98,moderate rain,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
160,Port-Gentil,GA,24.47,overcast clouds,-0.7193,8.7815,Fengshui Residence
163,Laem Sing,TH,26.53,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
168,Katsuura,JP,27.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
170,Dawson,US,28.91,overcast clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
172,Sirsilla,IN,24.5,overcast clouds,18.3833,78.8333,Appartment Complex
173,Waingapu,ID,28.67,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
174,Kolokani,ML,22.35,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
177,Kiunga,PG,25.36,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
179,Tezu,IN,24.31,overcast clouds,27.9167,96.1667,Circuit House
180,Mount Isa,AU,25.87,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
181,Labuhan,ID,26.75,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
183,Santarem,BR,26.07,thunderstorm,-2.4431,-54.7083,Ecotur Lodge
184,Alofi,NU,23.94,clear sky,-19.0595,-169.9187,Taloa Heights
185,Hobyo,SO,24.62,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
188,Cabedelo,BR,22.37,few clouds,-6.9811,-34.8339,Hotel Pigalle
190,Vila Velha,BR,21.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
191,Yima,CN,22.51,light rain,34.7381,111.8839,Yima Hotel
195,Hacienda,PH,27.91,broken clouds,15.936,120.1786,ACRO INN & PROPERTIES
